File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft\player\SaiyanPlayerClientEventHandler.java,64,50,31,6,13,2,1,8,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft\player\SaiyanPlayerCommonEventHandler.java,108,89,65,7,19,0,0,0,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft\player\ServerSaiyanPlayerMessageHandler.java,44,33,27,2,10,0,1,1,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft\player\StatusBarEventHandler.java,37,27,18,6,8,0,2,2,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft\player\gui\HealthBar.java,6,3,2,0,3,0,0,0,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft\player\gui\SaiyanHud.java,71,56,45,5,15,0,0,0,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft\player\moves\BaseMove.java,200,132,107,16,46,0,22,106,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft\player\moves\ISaiyanMove.java,28,20,16,0,8,0,0,0,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft\player\moves\UseMoveMessage.java,41,30,23,0,11,0,0,0,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft\player\moves\UseMoveMessageHandler.java,62,36,28,2,12,0,14,42,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft\player\moves\combos\Combo.java,99,82,60,12,17,0,0,0,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft\player\moves\combos\ComboManager.java,112,94,71,14,18,1,0,5,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft\server\SaiyanCraftServerEventHandler.java,50,34,28,2,14,0,2,37,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft\storage\SaiyanBattlerStorage.java,61,50,40,4,11,0,0,0,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft\storage\SaiyanMoveStorage.java,24,16,13,1,8,0,0,0,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft\storage\SayanDataStorage.java,43,36,31,1,7,0,0,0,0,0
